Code	Author	Title	Publisher	Date
A.01	Abraham, R.M.	Tricks and Amusements	Dover	1964
A.02	Adams, A.A.	Test Yourself	Hart, NYC	1976
A.03	Agostini, F.	Math and Logic Games	Harper & Row	1980
A.04	Ambinder, G.E.	Puzzlement	Rampage	1974
A.05	Anonymous	101 Brain Twisters	Hood Rubber Co. 	1932
A.06	Anonymous	Brain Resters and Testers	Coop. Recr. Service	none
A.07	Anonymous	Count and Capture	Coop. Recr. Service	none
A.08	Anonymous	Mental Games	Coop. Recr. Service	none
A.09	Anonymous	Problematical Recreations	Litton Industries	none
A.10	Anonymous	Puzzle Craft	Coop. Recr. Service	none
A.11	Avallone, M.	5-Minute Mysteries	Scholastic	1978
B.01	Barnard, D.St.P.	Figure it Out	Fawcett	1973
B.02	Barr, S.	Mathematical Brain Benders 2	Dover	1982
B.03	Bates, N & Smith, M.	101 Puzzle Problems	Bates	1980
B.04	Beman,W.& Smith,D.	Klein's Famous Problems . . .	Athanaeum	1897
B.05	Berloquin, P.	100 Geometric Games	Scribner's 	1976
B.06	Blocksma, M.	Reading the Numbers	Penguin	1989
B.07	Bolt, B.	The Amazing Mathematical Amusement Arcade	Cambridge U. Press	1984
B.08	Bramson, M.	Mathematics Level I (College Bd. Ach. Test)	Arc	1966
B.09	Brousseau, A.	St. Mary's College Mathematics Contest Problems	Creative Publications	1972
B.10	Brooke, M.	150 Puzzles in Crypt-Arithmetic	Dover	1969
B.11	Brooke, M.	Coin Games and Puzzles	Dover	1963
B.12	Brooke, M.	Tricks, Games, & Puzzles with Matches	Dover	1973
B.13	Brooks, A.	The New Normal Mental Arithmetic	Sower	1873
B.14	Brown,S. & Walter, M.	The Art of Problem Posing	Franklin Inst	1983
B.15	Bryant,S. et al.	Nonroutine Problems in alg, geom, trig	McGraw-Hill	1965
C.01	California Board of Ed.	Advanced Arithmetic	State Printing Office	1887
C.02	Carroll, L.	Pillow Problems & a Tangled Tale	Dover	1958
C.03	Carroll, L.	Symbolic Game of Logic	Dover	1958
C.04	Charosh, M.	Mathematical Challenges	NCTM	1965
C.05	Churchill, E. & L.	Puzzles & Quizzes	Scholastic	1974
C.06	Conrad, S. & Flegler, D.	The 1st Elem Gr. Math League Prob. Bk.	Math Lg Pr	1986
C.07	Conrad, S. & Flegler, D.	The 1st 7ty & 8th Gr. M. L. Prob. Bk.	Math Lg Pr	1986
C.08	Crawford, R. et al.	Achievement in Mathematics, books ! & 2	Allyn & Bacon	1974
C.09	Crawford, R., collector	Brainteasers, file folder	various	var.
C.10	Crawford, R., collector	Miscellaneous Resources I, file folder	various	var.
C.11	Crawford, R., collector	Miscellaneous Resources II, file folder	various	var.
C.12	Crawford, R., collector	Miscellaneous Resources III, ring binder	various	var.
C.13	Crawford, R., collector	Miscellaneous Resources IV, file folder	various	var.
C.14	Crawford, R., collector	Stella Pool, file folder	various	var.
D.01	Davies, C	Elementary Algebra	Barnes	1851
D.02	Davis, Frederick W.	Fascinating Figure Puzzles	Burroughs	1933
D.03	DeGrazio, J	More Math Teasers	Barnes & Noble	1973
D.04	DeGrazio, J. 	Math is Fun	Emerson	1954
