Stella Number	Topic
1000	visual problems
1007	"networks, tracing"
1008	pattern completion (visual)
1009	counting shapes in shapes
1010	"visual sequences, linear"
1015	"visual sequences, 2-dimen."
1020	"geometry, informal"
1026	tesselation
1027	partitions
1030	connecting dots
1040	"trees in rows, planting"
1050	"pennies, arranging"
1060	toothpicks
1070	"grabbers, trick quest, cheap shots"
1079	"words, problems about"
1080	optical illusions
1090	"three-dimen. problems, elem ."
1093	geoblocks
1094	two-dimen. versions of 3-d prob.
1095	missing faces of solids
1100	"number patterns (cf. 2530, 2850)"
1110	"numbers in patterns, arranging"
1120	cross-number puzzles
1130	magic squares
1140	pails and measuring
1160	crypt-arithmetic
1170	"money/coins: change; value (cf. 1350, 2480)"
1180	"logic, analysis (classic brainteasers)"
1190	"time, incl. calendars"
1192	calendars
1200	rank ordering
1210	hats: who has which hat on
1220	sorting: Canadian owns the wombat
1230	"sorting, misc.: which is which"
1232	incomplete information charts
1240	river crossing
1245	Jeep problems
1250	false coins (2-pan scales)
1255	"scales, two-pan"
1260	handshake problem
1270	pigeonhole principle
1280	liars/truthtellers
1290	venn diagrams (cf. 2030)
1300	"numerals, writing; digits (pl. value, cf. 1720)"
1305	odd-even numbers
1307	consecutive integers
1310	adding and subtracting (cf. 1140)
1320	"multiplying and dividing (incl +, -) (cf. 1140)"
1322	remainders
1330	squares & square roots (cf.1670)
1331	squares (cf. 1670)
1332	square roots
1333	higher powers & roots
1334	"powers, higher"
1335	"roots, higher"
1340	counting (how many)
1342	counting: how many ways
1350	"decimal arithmetic, incl. $ (cf. 1170, 2480)"
1360	rational numbers
1365	fractions (numerical)
1367	"fractions, equivalent"
1368	rational number arithmetic
1370	"percent, numerical (cf. 2410, 2290)"
1380	integers
1385	integer operations
1390	irrationals
1395	radical manipulation
1400	rationalization
1410	"exponents, arithmetic using (cf. 2100)"
1412	"exponents, laws of"
1420	approximation
1430	"arithmetic means, numerical (cf. 2452, 2860)"
1440	"geometric means, num.  (cf. 2454, 2870, 3590)"
1450	"harmonic means, num.  (cf. 2456, 2880)"
1460	"calculator, use of"
1465	"calculator, broken key"
1470	calculator: heavy calculations
1480	calculator pattern discovery
1490	bargains (cf. linear programming 2220)
1510	"living life (1/8 as boy , 1/4  as..)"
1520	wages
1530	"word problems, whole #'s (""typical"")"
1540	"word problems, hard but (""typical"")"
1550	word problems: soft-core algebra
1560	pickanumba
1600	prime numbers
1610	factors
1620	prime factorization
1630	"factor, greatest common"
1640	divisibility
1650	multiples
1660	"multiples, least common"
1680	factorials
1690	diophantine equations
1700	number bases
1710	sums of integers
1720	"place value, prob about (cf.1300)"
1730	number theory proofs
1740	modular arithmetic
1800	"measurement, elementary"
1810	dimensional analysis
1900	flow charts
2010	"real number system, structure"
2020	i
2021	complex numbers
2022	complex number operations
2030	sets (cf. 1290)
2040	"operations, prop. of (""new math"")"
2050	numerical expressions: order of op.
2070	"formulas, inventing (alg. expr.) (cf. 2530, 2580)"
2080	symbol manipulation (cf. 2110)
2090	linear expressions
2100	"exponents, algebraic expr. with (cf. 1410)"
2110	polynomial manipulation
2120	"factoring, misc."
2121	"factoring, quadratics"
2122	"factoring, cubics and higher"
2130	absolute value (cf. 2285)
2140	ratio
2150	rational expressions
2152	"rational expressions, evaluating"
2160	"fractions, complex"
2162	"fractions, continued"
2180	"radicals, roots"
2190	reciprocals
2200	"equations, linear & rational"
2210	"inequalities, linear, incl. abs. values"
2211	inequalities w/ abs. value
2220	linear programming (cf . bargains 1490)
2230	"equations, quadratic"
2232	"functions, quadratic"
2238	"equations, quadratic, non-routine"
2240	factoring: quadratic equations
2250	"inequalities, quadratic"
2250	rational equations
2260	cubics & higher degrees (cf.2680)
2270	equations involving radicals
2285	equations with absolute value (cf. 2130)
2286	equations w/ radicals
2288	"equations, misc."
2290	proportions (cf. 2560)
2300	"equations, exponential"
2305	exponential growth
2310	"equations, systems of, linear"
2315	"equations, systems, 3 or more variables"
2320	"equations, systems of, non-linear"
2330	"equations, systems of, trig."
2340	"equations, systems of, misc."
2350	"inequalities, misc."
2360	"matrices, determinants"
2361	matrices
2365	determinants
2370	"identities, algebraic"
2380	binomial coefficients
2385	Pascal's triangle (cf. 2890)
2390	binomial expansion
2400	"problem solving, about"
2405	translating words to equations
