Stella Number	Topic
2130	absolute value (cf. 2285)
2590	"absolute value function (see 2130, 2285)"
5400	achievement level 1
5500	achievement level 2
1310	adding and subtracting (cf. 1150)
2460	ages
2465	"ages, complicated problems"
3232	altitudes of triangles
3690	analytic geometry: circles (cf.2780)
3680	analytic geometry: lines (cf. 2770)
3700	analytic geometry: spheres (cf. 2800)
3695	analytic problems in 3-dimensions
3685	analytic triangles
3233	angle bisection of triangles
1420	approximation
3510	arcs and angles
2447	area (cf. 3410-3450)
3410	area (cf. 3420-3460)
3405	area and perimeter
3460	area in coordinate plane
3450	"area, surface"
2452	"arithmetic means, algebraic"
1430	"arithmetic means, numerical (cf. 2452, 2860)"
1490	bargains (cf. linear programming 2220)
2380	binomial coefficients
2390	binomial expansion
1480	calculator pattern discovery
1465	"calculator, broken key"
1460	"calculator, use of"
1470	calculator: heavy calculations
1192	calendars
3250	Ceva's theorem
3520	chords and angles
3500	circles
2788	circles (equations)
3440	"circles, area of"
3550	circumference
3572	circumscribed circles
3322	circumscribed polygons
4410	combinations
4300	combinatorics
3071	complementary angles
2022	complex number operations
2021	complex numbers
2610	composite functions
3625	cones
2780	conic sections
1030	connecting dots
1307	consecutive integers
3800	constructions
3330	convexity
2760	"coord. geom: slope, dist, midpt. &c."
2750	coordinate plane
2790	coordinate space: 3-d analyt. geom.
4080	cos(x+ y)
1340	counting (how many)
1009	counting shapes in shapes
1342	counting: how many ways
1120	cross-number puzzles
1160	crypt-arithmetic
3610	cubes
2260	cubics & higher degrees (cf.2680)
2680	cubics (cf. 2260)
3618	cylinders
1350	"decimal arithmetic, incl. $ (cf. 1170, 2480)"
2840	DeMoivre's theorem
2365	determinants
1810	dimensional analysis
1690	diophantine equations
2762	distance formula
2440	"distance, rate, time"
2442	distances upstream/downstream
1640	divisibility
2542	domain
2540	"domain, range"
2784	ellipses
2270	equations involving radicals
2286	equations w/ radicals
2285	equations with absolute value (cf. 2130)
2300	"equations, exponential"
2630	"equations, functional"
2200	"equations, linear & rational"
2745	"equations, logarithmic"
2288	"equations, misc."
2640	"equations, polynomial"
2230	"equations, quadratic"
2238	"equations, quadratic, non-routine"
2310	"equations, systems of, linear"
2340	"equations, systems of, misc."
2320	"equations, systems of, non-linear"
2330	"equations, systems of, trig."
2315	"equations, systems, 3 or more variables"
2305	exponential growth
2100	"exponents, algebraic expr. with (cf. 1410)"
1410	"exponents, arithmetic using (cf. 2100)"
1412	"exponents, laws of"
2580	f(x) notation
1630	"factor, greatest common"
1680	factorials
2122	"factoring, cubics and higher"
2120	"factoring, misc."
2121	"factoring, quadratics"
2240	factoring: quadratic equations
1610	factors
1250	false coins (2-pan scales)
2890	Fibonacci numbers (cf. 2385)
1900	flow charts
2070	"formulas, inventing (alg. expr.) (cf. 2530, 2580)"
3004	four-color problem
1365	fractions (numerical)
2160	"fractions, complex"
2162	"fractions, continued"
1367	"fractions, equivalent"
2710	"functions, exponential"
2585	"functions, graphs of"
2530	"functions, informal (cf. 2580, 2630, 2070)"
4120	"functions, inverse trigonometric"
2232	"functions, quadratic"
2615	"functions, recursive"
1093	geoblocks
2454	"geometric means, algebraic"
1440	"geometric means, num.  (cf. 2454, 2870, 3590)"
1020	"geometry, informal"
3000	"geometry, informal (for geom. class) (cf. 1020)"
3050	"geometry: early (segments, angles)"
1070	"grabbers, trick quest, cheap shots"
2810	"graphing techniques symm, asymp."
2600	greatest integer function
1260	handshake problem
2456	"harmonic means, algebraic"
1450	"harmonic means, num.  (cf. 2456, 2880)"
1210	hats: who has which hat on
1333	higher powers & roots
2786	hyperbolas
2020	i
2370	"identities, algebraic"
4100	"identities, trigonometric"
1232	incomplete information charts
2950	induction
2211	inequalities w/ abs. value
3210	"inequalities, geometric"
2210	"inequalities, linear, incl. abs. values"
2350	"inequalities, misc."
2250	"inequalities, quadratic"
3320	inscribed & circumscr. polyg. (cf.3570)
3570	inscribed & circumscribed circles
3571	inscribed circles
3321	inscribed polygons
1385	integer operations
1380	integers
2620	inverse functions
1390	irrationals
1245	Jeep problems
3687	lattice points
4160	law of cosines
4140	law of sines
1280	liars/truthtellers
2980	limits
2090	linear expressions
2220	linear programming (cf . bargains 1490)
2770	lines on coordinate plane (cf. 3680)
1510	"living life (1/8 as boy , 1/4  as..)"
3850	locus
2735	log to exp. form & v.v.
2740	logarithms: change of base
2730	logarithms: manipulations
1180	"logic, analysis (classic brainteasers)"
3750	"logic, formal"
1130	magic squares
2361	matrices
2360	"matrices, determinants"
2450	"means arith, geom, harm (cf. 2860-80)"
3590	"means, geometric, in geometry (cf. 1440, 2870)"
1800	"measurement, elementary"
3230	"median, alt, angle bis, &c."
3231	medians of triangles
3240	Menelaus's theorem
3235	midline of triangles
2763	midpoint formula
1095	missing faces of solids
1740	modular arithmetic
2480	"money (cf. 1170, 1350)"
1170	"money/coins: change; value (cf. 1350, 2480)"
1650	multiples
1660	"multiples, least common"
1320	"multiplying and dividing (incl. +,-); (cf. 1150)"
1007	"networks, tracing"
1700	number bases
1100	"number patterns (cf. 2530, 2850)"
1730	number theory proofs
1110	"numbers in patterns, arranging"
1300	"numerals, writing; digits (pl. value, cf. 1720)"
2050	numerical expressions: order of op.
1305	odd-even numbers
2510	"operations, made-up, e.g. 2*3"
2040	"operations, prop. of (""new math"")"
1080	optical illusions
2720	optimization
3220	"optimization, geometric"
3390	other polygons
1140	pails and measuring
2782	parabolas
3270	parallel &perp.  lines & planes
3260	parallel and perpendicular lines
3261	parallel lines
3350	parallelograms
1027	partitions
2385	Pascal's triangle (cf. 2890)
1008	pattern completion (visual)
